variant,B,N,d,latency_ms,throughput_k_tokens_per_sec,timestamp
baseline,1,128,64,0.0991,1291.72,2026-03-11T23:33:56.330970
baseline,1,128,128,0.1046,1223.69,2026-03-11T23:33:56.649157
baseline,1,256,64,0.3365,760.73,2026-03-11T23:33:56.998349
baseline,1,256,128,0.3557,719.69,2026-03-11T23:33:57.347285
baseline,1,512,64,0.6969,734.64,2026-03-11T23:33:57.727907
baseline,1,512,128,0.7656,668.74,2026-03-11T23:33:58.122277
baseline,1,1024,64,1.5271,670.53,2026-03-11T23:33:58.595170
baseline,1,1024,128,1.8238,561.45,2026-03-11T23:33:59.106109
baseline,4,128,64,0.1139,4495.59,2026-03-11T23:33:59.432219
baseline,4,128,128,0.1345,3806.62,2026-03-11T23:33:59.765616
baseline,4,256,64,0.3894,2629.71,2026-03-11T23:34:00.131319
baseline,4,256,128,0.4633,2209.99,2026-03-11T23:34:00.499901
baseline,4,512,64,0.9134,2242.18,2026-03-11T23:34:00.912832
baseline,4,512,128,1.2268,1669.45,2026-03-11T23:34:01.370979
baseline,4,1024,64,2.4598,1665.21,2026-03-11T23:34:01.958288
baseline,4,1024,128,3.603,1136.84,2026-03-11T23:34:02.686043
baseline,16,128,64,0.1665,12301.64,2026-03-11T23:34:03.021172
baseline,16,128,128,0.246,8326.05,2026-03-11T23:34:03.376059
baseline,16,256,64,0.6166,6642.64,2026-03-11T23:34:03.768011
baseline,16,256,128,0.9057,4522.69,2026-03-11T23:34:04.211509
baseline,16,512,64,1.815,4513.48,2026-03-11T23:34:04.753206
baseline,16,512,128,2.9929,2737.12,2026-03-11T23:34:05.462418
baseline,16,1024,64,6.0161,2723.36,2026-03-11T23:34:06.486261
baseline,16,1024,128,10.6913,1532.46,2026-03-11T23:34:08.091170
baseline,32,128,64,0.2401,17057.57,2026-03-11T23:34:08.444276
baseline,32,128,128,0.3852,10632.64,2026-03-11T23:34:08.838527
baseline,32,256,64,0.9093,9009.52,2026-03-11T23:34:09.292071
baseline,32,256,128,1.4984,5467.06,2026-03-11T23:34:09.849385
baseline,32,512,64,3.0214,5422.59,2026-03-11T23:34:10.559612
baseline,32,512,128,5.3619,3055.63,2026-03-11T23:34:11.606735
baseline,32,1024,64,12.2288,2679.57,2026-03-11T23:34:13.376835
baseline,32,1024,128,21.5787,1518.54,2026-03-11T23:34:16.298323
