variant,B,N,d,latency_ms,throughput_k_tokens_per_sec
baseline,1,128,64,0.0494,2593.26
tiled,1,128,64,0.0446,2866.87
baseline,1,128,128,0.0571,2242.58
tiled,1,128,128,0.0470,2724.59
baseline,1,256,64,0.1659,1543.30
tiled,1,256,64,0.1475,1735.54
baseline,1,256,128,0.2008,1275.20
tiled,1,256,128,0.1627,1573.61
baseline,1,512,64,0.3920,1305.99
tiled,1,512,64,0.3239,1580.86
baseline,1,512,128,0.5133,997.46
tiled,1,512,128,0.3776,1356.06
baseline,1,1024,64,1.0152,1008.63
tiled,1,1024,64,0.7502,1365.02
baseline,1,1024,128,1.4693,696.92
tiled,1,1024,128,0.9371,1092.73
baseline,4,128,64,0.0734,6971.13
tiled,4,128,64,0.0551,9291.31
baseline,4,128,128,0.1060,4828.51
tiled,4,128,128,0.0675,7588.84
baseline,4,256,64,0.2610,3924.11
tiled,4,256,64,0.1940,5277.94
baseline,4,256,128,0.3784,2705.94
tiled,4,256,128,0.2413,4243.59
baseline,4,512,64,0.7398,2768.38
tiled,4,512,64,0.4756,4306.06
baseline,4,512,128,1.1921,1717.95
tiled,4,512,128,0.6592,3106.84
baseline,4,1024,64,2.3614,1734.56
tiled,4,1024,64,1.3118,3122.36
baseline,4,1024,128,4.1478,987.51
tiled,4,1024,128,2.0481,1999.88
baseline,16,128,64,0.1598,12815.56
tiled,16,128,64,0.0901,22723.00
baseline,16,128,128,0.2764,7409.90
tiled,16,128,128,0.1393,14699.19
baseline,16,256,64,0.6018,6806.65
tiled,16,256,64,0.3367,12166.35
baseline,16,256,128,1.0557,3879.86
tiled,16,256,128,0.5216,7852.38
baseline,16,512,64,2.1169,3869.86
tiled,16,512,64,1.0669,7678.38
baseline,16,512,128,3.9077,2096.38
tiled,16,512,128,1.8091,4528.18
baseline,16,1024,64,8.8995,1841.00
tiled,16,1024,64,4.7122,3476.97
baseline,16,1024,128,16.0936,1018.05
tiled,16,1024,128,7.6883,2131.02
baseline,32,128,64,0.2735,14976.23
tiled,32,128,64,0.1396,29334.25
baseline,32,128,128,0.5045,8118.32
tiled,32,128,128,0.2320,17653.10
baseline,32,256,64,1.0657,7686.90
tiled,32,256,64,0.5378,15232.50
baseline,32,256,128,1.9672,4164.29
tiled,32,256,128,0.9105,8996.80
baseline,32,512,64,4.2132,3888.74
tiled,32,512,64,2.1125,7755.84
baseline,32,512,128,7.8283,2092.91
tiled,32,512,128,3.6158,4531.20
baseline,32,1024,64,18.3272,1787.95
tiled,32,1024,64,9.9143,3305.12
baseline,32,1024,128,32.6484,1003.66
tiled,32,1024,128,15.8701,2064.77
