variant,B,N,d,latency_ms,throughput_k_tokens_per_sec
baseline,1,128,64,0.0492,2603.12
tiled,1,128,64,0.0451,2837.48
softmax_fixed,1,128,64,0.0164,7794.08
fused,1,128,64,0.0225,5678.99
warp_softmax,1,128,64,0.0123,10383.68
tiled32,1,128,64,0.0164,7811.89
baseline,1,128,128,0.0565,2266.01
tiled,1,128,128,0.0471,2715.45
softmax_fixed,1,128,128,0.0184,6942.28
fused,1,128,128,0.0340,3759.58
warp_softmax,1,128,128,0.0144,8914.05
tiled32,1,128,128,0.0226,5674.00
baseline,1,256,64,0.1679,1524.55
tiled,1,256,64,0.1495,1712.74
softmax_fixed,1,256,64,0.0328,7812.88
fused,1,256,64,0.0615,4164.17
warp_softmax,1,256,64,0.0226,11351.22
tiled32,1,256,64,0.0287,8926.48
baseline,1,256,128,0.1992,1284.89
tiled,1,256,128,0.1632,1568.27
softmax_fixed,1,256,128,0.0452,5661.15
fused,1,256,128,0.1168,2192.31
warp_softmax,1,256,128,0.0349,7335.34
tiled32,1,256,128,0.0471,5434.60
baseline,1,512,64,0.3944,1298.01
tiled,1,512,64,0.3297,1553.04
softmax_fixed,1,512,64,0.0922,5553.28
fused,1,512,64,0.2165,2365.21
warp_softmax,1,512,64,0.0635,8058.79
tiled32,1,512,64,0.0921,5556.31
baseline,1,512,128,0.5119,1000.26
tiled,1,512,128,0.3788,1351.49
softmax_fixed,1,512,128,0.1416,3615.77
fused,1,512,128,0.4195,1220.61
warp_softmax,1,512,128,0.1128,4540.13
tiled32,1,512,128,0.1682,3043.89
baseline,1,1024,64,1.0164,1007.43
tiled,1,1024,64,0.7568,1353.07
softmax_fixed,1,1024,64,0.3396,3015.70
fused,1,1024,64,1.0364,988.07
warp_softmax,1,1024,64,0.2253,4545.32
tiled32,1,1024,64,0.3194,3205.60
baseline,1,1024,128,1.4635,699.68
tiled,1,1024,128,0.9412,1088.02
softmax_fixed,1,1024,128,0.5241,1953.76
fused,1,1024,128,2.1154,484.07
warp_softmax,1,1024,128,0.4107,2493.32
tiled32,1,1024,128,0.5913,1731.75
baseline,4,128,64,0.0745,6869.16
tiled,4,128,64,0.0561,9126.79
softmax_fixed,4,128,64,0.0307,16665.97
fused,4,128,64,0.0615,8327.48
warp_softmax,4,128,64,0.0225,22714.37
tiled32,4,128,64,0.0287,17863.52
baseline,4,128,128,0.1041,4918.28
tiled,4,128,128,0.0678,7549.81
softmax_fixed,4,128,128,0.0411,12449.33
fused,4,128,128,0.1109,4618.19
warp_softmax,4,128,128,0.0330,15505.83
tiled32,4,128,128,0.0454,11265.86
baseline,4,256,64,0.2606,3928.90
tiled,4,256,64,0.1959,5226.81
softmax_fixed,4,256,64,0.0901,11359.12
fused,4,256,64,0.2109,4856.19
warp_softmax,4,256,64,0.0615,16661.63
tiled32,4,256,64,0.0901,11366.70
baseline,4,256,128,0.3758,2724.99
tiled,4,256,128,0.2423,4226.32
softmax_fixed,4,256,128,0.1377,7437.28
fused,4,256,128,0.4056,2524.64
warp_softmax,4,256,128,0.1086,9429.90
tiled32,4,256,128,0.1639,6249.41
baseline,4,512,64,0.7372,2778.13
tiled,4,512,64,0.4776,4287.81
softmax_fixed,4,512,64,0.3216,6368.85
fused,4,512,64,0.7961,2572.44
warp_softmax,4,512,64,0.2158,9490.72
tiled32,4,512,64,0.3093,6620.65
baseline,4,512,128,1.1852,1727.91
