variant,B,N,d,latency_ms,latency_std_ms,throughput_k_tokens_per_sec
best,1,128,64,0.0489,0.0015,2616.19
tiled_vec,1,128,64,0.0275,0.0008,4654.30
best,1,128,128,0.0311,0.0007,4121.50
tiled_vec,1,128,128,0.0314,0.0009,4074.86
best,1,256,64,0.0488,0.0008,5241.71
tiled_vec,1,256,64,0.0500,0.0012,5122.92
best,1,256,128,0.0849,0.0007,3015.20
tiled_vec,1,256,128,0.0883,0.0009,2898.60
best,1,512,64,0.1574,0.0016,3251.99
tiled_vec,1,512,64,0.1618,0.0008,3165.05
best,1,512,128,0.2920,0.0013,1753.51
tiled_vec,1,512,128,0.3042,0.0018,1682.95
best,1,1024,64,0.5973,0.0015,1714.37
tiled_vec,1,1024,64,0.6223,0.0023,1645.41
best,1,1024,128,1.1258,0.0026,909.61
tiled_vec,1,1024,128,1.1714,0.0101,874.14
best,4,128,64,0.0476,0.0007,10764.12
tiled_vec,4,128,64,0.0492,0.0007,10404.89
best,4,128,128,0.0828,0.0024,6185.10
tiled_vec,4,128,128,0.0862,0.0012,5938.86
best,4,256,64,0.1529,0.0015,6695.11
tiled_vec,4,256,64,0.1581,0.0017,6476.58
best,4,256,128,0.2840,0.0008,3605.89
tiled_vec,4,256,128,0.2962,0.0008,3457.12
best,4,512,64,0.5977,0.0068,3426.52
tiled_vec,4,512,64,0.6198,0.0050,3304.33
best,4,512,128,1.1535,0.0197,1775.53
tiled_vec,4,512,128,1.1935,0.0172,1715.96
best,4,1024,64,2.4702,0.0456,1658.15
tiled_vec,4,1024,64,2.5344,0.0413,1616.18
best,4,1024,128,4.6635,0.0474,878.32
tiled_vec,4,1024,128,4.8001,0.0465,853.32
best,16,128,64,0.1522,0.0021,13458.27
tiled_vec,16,128,64,0.1603,0.0017,12772.54
best,16,128,128,0.2926,0.0021,6998.77
tiled_vec,16,128,128,0.3015,0.0011,6793.15
best,16,256,64,0.6022,0.0098,6801.80
tiled_vec,16,256,64,0.6245,0.0118,6558.75
best,16,256,128,1.1701,0.0187,3500.64
tiled_vec,16,256,128,1.2114,0.0297,3381.27
best,16,512,64,2.4631,0.0469,3325.93
tiled_vec,16,512,64,2.5423,0.0464,3222.24
best,16,512,128,4.6839,0.0524,1748.96
tiled_vec,16,512,128,4.8441,0.0609,1691.13
best,16,1024,64,9.9969,0.1111,1638.91
tiled_vec,16,1024,64,10.1558,0.1361,1613.26
best,16,1024,128,18.8568,0.3734,868.87
tiled_vec,16,1024,128,19.6507,0.3362,833.76
best,32,128,64,0.2966,0.0020,13811.62
tiled_vec,32,128,64,0.3072,0.0014,13334.29
best,32,128,128,0.5765,0.0142,7105.11
tiled_vec,32,128,128,0.5975,0.0162,6855.79
best,32,256,64,1.2443,0.0425,6583.88
tiled_vec,32,256,64,1.2870,0.0407,6364.95
best,32,256,128,2.3641,0.0443,3465.22
tiled_vec,32,256,128,2.4616,0.0532,3327.86
best,32,512,64,5.0002,0.0783,3276.65
tiled_vec,32,512,64,5.1619,0.0776,3174.05
best,32,512,128,9.5082,0.0998,1723.14
tiled_vec,32,512,128,9.8309,0.1133,1666.59
best,32,1024,64,20.1139,0.1678,1629.12
tiled_vec,32,1024,64,20.1136,0.1500,1629.14
best,32,1024,128,38.5809,0.4989,849.33
tiled_vec,32,1024,128,40.3160,0.2103,812.78
